# Region type : patch outlet
# Faces         : 8
# Area          : 1.00000000e-02
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(T)
0.5             	3.93302485e-307
1               	3.50338787e-293
1.5             	2.84769347e-281
2               	3.02841470e-271
2.5             	1.88611057e-262
3               	1.54515670e-254
3.5             	2.68104248e-247
4               	1.32819348e-240
4.5             	2.29763071e-234
5               	1.60687417e-228
5.5             	5.08851895e-223
6               	7.99407188e-218
6.5             	6.71851088e-213
7               	3.21820554e-208
7.5             	9.27168821e-204
8               	1.68243721e-199
8.5             	2.00100564e-195
9               	1.61483169e-191
9.5             	9.11510048e-188
10              	3.69656637e-184
10.5            	1.10302994e-180
11              	2.47378979e-177
11.5            	4.25004468e-174
12              	5.68986675e-171
12.5            	6.02795033e-168
13              	5.12427545e-165
13.5            	3.53974364e-162
14              	2.00997798e-159
14.5            	9.48153293e-157
15              	3.75192095e-154
15.5            	1.25663277e-151
16              	3.59202191e-149
16.5            	8.83029125e-147
17              	1.88020294e-144
17.5            	3.49057969e-142
18              	5.68492214e-140
18.5            	8.16913569e-138
19              	1.04130565e-135
19.5            	1.18333122e-133
20              	1.20447589e-131
20.5            	1.10297320e-129
21              	9.12435675e-128
21.5            	6.84539934e-126
22              	4.01585790e-124
22.5            	1.94009177e-122
23              	9.08820450e-121
23.5            	4.07504193e-119
24              	1.74231924e-117
24.5            	7.09418047e-116
25              	2.74784971e-114
25.5            	1.01114247e-112
26              	3.52926936e-111
26.5            	1.16669342e-109
27              	3.64836244e-108
27.5            	1.07835681e-106
28              	3.01165664e-105
28.5            	7.94818980e-104
29              	1.98310917e-102
29.5            	4.68117339e-101
30              	1.04638442e-99
30.5            	2.21723380e-98
31              	4.45867029e-97
31.5            	8.51885819e-96
32              	1.54830106e-94
32.5            	2.68005129e-93
33              	4.42339070e-92
33.5            	6.96939427e-91
34              	1.04943523e-89
34.5            	1.51188716e-88
35              	2.08620201e-87
35.5            	2.76009302e-86
36              	3.50481442e-85
36.5            	4.27572711e-84
37              	5.01619390e-83
37.5            	5.66447884e-82
38              	6.16247707e-81
38.5            	6.46451105e-80
39              	6.54430762e-79
39.5            	6.39867256e-78
40              	6.04718251e-77
40.5            	5.52816463e-76
41              	4.89204651e-75
41.5            	4.19361632e-74
42              	3.48475554e-73
42.5            	2.80885338e-72
43              	2.19754404e-71
43.5            	1.66981318e-70
44              	1.23305293e-69
44.5            	8.85386541e-69
45              	6.18539846e-68
45.5            	4.20653898e-67
46              	2.78635530e-66
46.5            	1.79857078e-65
47              	1.13192241e-64
47.5            	6.94890290e-64
48              	4.16325157e-63
48.5            	2.43537850e-62
49              	1.39159442e-61
49.5            	7.77071384e-61
50              	4.24224386e-60
50.5            	2.26514641e-59
51              	1.18341618e-58
51.5            	6.05186603e-58
52              	3.03052030e-57
52.5            	1.48655974e-56
53              	7.14565134e-56
53.5            	3.36704198e-55
54              	1.55579210e-54
54.5            	7.05173868e-54
55              	3.13634713e-53
55.5            	1.36922061e-52
56              	5.86919896e-52
56.5            	2.47099429e-51
57              	1.02206936e-50
57.5            	4.15460589e-50
58              	1.66013059e-49
58.5            	6.52284178e-49
59              	2.52075138e-48
59.5            	9.58374913e-48
60              	3.58561908e-47
60.5            	1.32045810e-46
61              	4.78765506e-46
61.5            	1.70947363e-45
62              	6.01235372e-45
62.5            	2.08337848e-44
63              	7.11426635e-44
63.5            	2.39455597e-43
64              	7.94594101e-43
64.5            	2.60004991e-42
65              	8.39117177e-42
65.5            	2.67149757e-41
66              	8.39195254e-41
66.5            	2.60153900e-40
67              	7.96045735e-40
67.5            	2.40472617e-39
68              	7.17283916e-39
68.5            	2.11295730e-38
69              	6.14807650e-38
69.5            	1.76729867e-37
70              	5.01966262e-37
70.5            	1.40897507e-36
71              	3.90899570e-36
71.5            	1.07208131e-35
72              	2.90708086e-35
72.5            	7.79503867e-35
73              	2.06716367e-34
73.5            	5.42237203e-34
74              	1.40709314e-33
74.5            	3.61273022e-33
75              	9.17880826e-33
75.5            	2.30798491e-32
76              	5.74423597e-32
76.5            	1.41527198e-31
77              	3.45231596e-31
77.5            	8.33868972e-31
78              	1.99459362e-30
78.5            	4.72532956e-30
79              	1.10887258e-29
79.5            	2.57782213e-29
80              	5.93738239e-29
80.5            	1.35505214e-28
81              	3.06466642e-28
81.5            	6.86946802e-28
82              	1.52623487e-27
82.5            	3.36142090e-27
83              	7.33958998e-27
83.5            	1.58895448e-26
84              	3.41102189e-26
84.5            	7.26160931e-26
85              	1.53319644e-25
85.5            	3.21084851e-25
86              	6.67019919e-25
86.5            	1.37465586e-24
87              	2.81076124e-24
87.5            	5.70251810e-24
88              	1.14804653e-23
88.5            	2.29371351e-23
89              	4.54822444e-23
89.5            	8.95165309e-23
90              	1.74887305e-22
90.5            	3.39188806e-22
91              	6.53110836e-22
91.5            	1.24861303e-21
92              	2.37026749e-21
92.5            	4.46815070e-21
93              	8.36471524e-21
93.5            	1.55524518e-20
94              	2.87211557e-20
94.5            	5.26854669e-20
95              	9.60054101e-20
95.5            	1.73798559e-19
96              	3.12587373e-19
96.5            	5.58599145e-19
97              	9.91884369e-19
97.5            	1.75017602e-18
98              	3.06895047e-18
98.5            	5.34826191e-18
99              	9.26353788e-18
99.5            	1.59480996e-17
100             	2.72919700e-17
100.5           	4.64280465e-17
101             	7.85182928e-17
101.5           	1.32017403e-16
102             	2.20691739e-16
102.5           	3.66825768e-16
103             	6.06284483e-16
103.5           	9.96459387e-16
104             	1.62866829e-15
104.5           	2.64739424e-15
105             	4.27996569e-15
105.5           	6.88208602e-15
106             	1.10072850e-14
106.5           	1.75122725e-14
107             	2.77158743e-14
107.5           	4.36374902e-14
108             	6.83529255e-14
108.5           	1.06522512e-13
109             	1.65170764e-13
109.5           	2.54831269e-13
110             	3.91219094e-13
110.5           	5.97661034e-13
111             	9.08608832e-13
111.5           	1.37469194e-12
112             	2.06994740e-12
112.5           	3.10211271e-12
113             	4.62720562e-12
113.5           	6.87007359e-12
114             	1.01532138e-11
114.5           	1.49369938e-11
115             	2.18755089e-11
115.5           	3.18937796e-11
116             	4.62939285e-11
116.5           	6.69005170e-11
117             	9.62585411e-11
117.5           	1.37901892e-10
118             	1.96715654e-10
118.5           	2.79422760e-10
119             	3.95234670e-10
119.5           	5.56717340e-10
120             	7.80938454e-10
120.5           	1.09098036e-09
121             	1.51792625e-09
121.5           	2.10345592e-09
122             	2.90322297e-09
122.5           	3.99122920e-09
123             	5.46546560e-09
123.5           	7.45515446e-09
124             	1.01300066e-08
124.5           	1.37120024e-08
125             	1.84903202e-08
125.5           	2.48401705e-08
126             	3.32464555e-08
126.5           	4.43333637e-08
127             	5.89012285e-08
127.5           	7.79722406e-08
128             	1.02846897e-07
128.5           	1.35173418e-07
129             	1.77032743e-07
129.5           	2.31042175e-07
130             	3.00481223e-07
130.5           	3.89443758e-07
131             	5.03021225e-07
131.5           	6.47522308e-07
132             	8.30735213e-07
132.5           	1.06223953e-06
133             	1.35377548e-06
133.5           	1.71967930e-06
134             	2.17739445e-06
134.5           	2.74806930e-06
135             	3.45725309e-06
135.5           	4.33570274e-06
136             	5.42031436e-06
136.5           	6.75519409e-06
137             	8.39288392e-06
137.5           	1.03957587e-05
138             	1.28376115e-05
138.5           	1.58054454e-05
139             	1.94014880e-05
139.5           	2.37454487e-05
140             	2.89770341e-05
140.5           	3.52587409e-05
141             	4.27789395e-05
141.5           	5.17552657e-05
142             	6.24383306e-05
142.5           	7.51157611e-05
143             	9.01165764e-05
143.5           	1.07815905e-04
144             	1.28640043e-04
144.5           	1.53071844e-04
145             	1.81656438e-04
145.5           	2.15007252e-04
146             	2.53812323e-04
146.5           	2.98840857e-04
147             	3.50950017e-04
147.5           	4.11091872e-04
148             	4.80320477e-04
148.5           	5.59799006e-04
149             	6.50806880e-04
149.5           	7.54746803e-04
150             	8.73151633e-04
150.5           	1.00769099e-03
151             	1.16017749e-03
151.5           	1.33257256e-03
152             	1.52699159e-03
152.5           	1.74570852e-03
153             	1.99115953e-03
153.5           	2.26594583e-03
154             	2.57283550e-03
154.5           	2.91476408e-03
155             	3.29483398e-03
155.5           	3.71631254e-03
156             	4.18262862e-03
156.5           	4.69736771e-03
157             	5.26426540e-03
157.5           	5.88719925e-03
158             	6.57017894e-03
158.5           	7.31733474e-03
159             	8.13290424e-03
159.5           	9.02121740e-03
160             	9.98667996e-03
160.5           	1.10337552e-02
161             	1.21669442e-02
161.5           	1.33907648e-02
162             	1.47097290e-02
162.5           	1.61283193e-02
163             	1.76509644e-02
163.5           	1.92820137e-02
164             	2.10257112e-02
164.5           	2.28861689e-02
165             	2.48673408e-02
165.5           	2.69729960e-02
166             	2.92066923e-02
166.5           	3.15717510e-02
167             	3.40712318e-02
167.5           	3.67079089e-02
168             	3.94842484e-02
168.5           	4.24023873e-02
169             	4.54641143e-02
169.5           	4.86708519e-02
170             	5.20236416e-02
170.5           	5.55231302e-02
171             	5.91695597e-02
171.5           	6.29627587e-02
172             	6.69021369e-02
172.5           	7.09866828e-02
173             	7.52149625e-02
173.5           	7.95851232e-02
174             	8.40948980e-02
174.5           	8.87416142e-02
175             	9.35222034e-02
175.5           	9.84332149e-02
176             	1.03470831e-01
176.5           	1.08630884e-01
177             	1.13908878e-01
177.5           	1.19300007e-01
178             	1.24799181e-01
178.5           	1.30401050e-01
179             	1.36100030e-01
179.5           	1.41890329e-01
180             	1.47765974e-01
180.5           	1.53720845e-01
181             	1.59748694e-01
181.5           	1.65843181e-01
182             	1.71997902e-01
182.5           	1.78206414e-01
183             	1.84462263e-01
183.5           	1.90759013e-01
184             	1.97090271e-01
184.5           	2.03449710e-01
185             	2.09831096e-01
185.5           	2.16228306e-01
186             	2.22635352e-01
186.5           	2.29046398e-01
187             	2.35455779e-01
187.5           	2.41858015e-01
188             	2.48247827e-01
188.5           	2.54620149e-01
189             	2.60970135e-01
189.5           	2.67293173e-01
190             	2.73584889e-01
190.5           	2.79841152e-01
191             	2.86058082e-01
191.5           	2.92232045e-01
192             	2.98359662e-01
192.5           	3.04437802e-01
193             	3.10463582e-01
193.5           	3.16434367e-01
194             	3.22347763e-01
194.5           	3.28201610e-01
195             	3.33993980e-01
195.5           	3.39723170e-01
196             	3.45387689e-01
196.5           	3.50986257e-01
197             	3.56517793e-01
197.5           	3.61981405e-01
198             	3.67376382e-01
198.5           	3.72702186e-01
199             	3.77958440e-01
199.5           	3.83144917e-01
200             	3.88261536e-01
200.5           	3.93308346e-01
201             	3.98285519e-01
201.5           	4.03193342e-01
202             	4.08032205e-01
202.5           	4.12802594e-01
203             	4.17505082e-01
203.5           	4.22140321e-01
204             	4.26709031e-01
204.5           	4.31211998e-01
205             	4.35650060e-01
205.5           	4.40024107e-01
206             	4.44335068e-01
206.5           	4.48583910e-01
207             	4.52771629e-01
207.5           	4.56899245e-01
208             	4.60967799e-01
208.5           	4.64978348e-01
209             	4.68931957e-01
209.5           	4.72829701e-01
210             	4.76672655e-01
210.5           	4.80461897e-01
211             	4.84198500e-01
211.5           	4.87883534e-01
212             	4.91518059e-01
212.5           	4.95103125e-01
213             	4.98639771e-01
213.5           	5.02129022e-01
214             	5.05571888e-01
214.5           	5.08969364e-01
215             	5.12322426e-01
215.5           	5.15632032e-01
216             	5.18899123e-01
216.5           	5.22124620e-01
217             	5.25309422e-01
217.5           	5.28454410e-01
218             	5.31560445e-01
218.5           	5.34628366e-01
219             	5.37658993e-01
219.5           	5.40653123e-01
220             	5.43611536e-01
220.5           	5.46534989e-01
221             	5.49424221e-01
221.5           	5.52279951e-01
222             	5.55102876e-01
222.5           	5.57893678e-01
223             	5.60653017e-01
223.5           	5.63381536e-01
224             	5.66079861e-01
224.5           	5.68748599e-01
225             	5.71388341e-01
225.5           	5.73999661e-01
226             	5.76583116e-01
226.5           	5.79139248e-01
227             	5.81668585e-01
227.5           	5.84171638e-01
228             	5.86648905e-01
228.5           	5.89100870e-01
229             	5.91528002e-01
229.5           	5.93930760e-01
230             	5.96309587e-01
230.5           	5.98664916e-01
231             	6.00997167e-01
231.5           	6.03306750e-01
232             	6.05594061e-01
232.5           	6.07859489e-01
233             	6.10103411e-01
233.5           	6.12326192e-01
234             	6.14528191e-01
234.5           	6.16709756e-01
235             	6.18871225e-01
235.5           	6.21012929e-01
236             	6.23135189e-01
236.5           	6.25238321e-01
237             	6.27322628e-01
237.5           	6.29388411e-01
238             	6.31435960e-01
238.5           	6.33465559e-01
239             	6.35477485e-01
239.5           	6.37472009e-01
240             	6.39449396e-01
240.5           	6.41409903e-01
241             	6.43353783e-01
