# Region type : patch outlet
# Faces         : 8
# Area          : 1.00000000e-02
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(T)
0.25            	3.32029480e-272
0.75            	2.39775697e-254
1.25            	4.96442831e-242
1.75            	1.45521952e-231
2.25            	1.23452392e-222
2.75            	9.05855848e-215
3.25            	1.09227804e-207
3.75            	3.23107986e-201
4.25            	3.05048938e-195
4.75            	1.10350134e-189
5.25            	1.74969246e-184
5.75            	1.34918447e-179
6.25            	5.49898209e-175
6.75            	1.26868503e-170
7.25            	1.75474450e-166
7.75            	1.52766251e-162
8.25            	8.72881229e-159
8.75            	3.39403629e-155
9.25            	9.26871828e-152
9.75            	1.82767171e-148
10.25           	2.66672228e-145
10.75           	2.94233216e-142
11.25           	2.50296902e-139
11.75           	1.67036190e-136
12.25           	8.88266244e-134
12.75           	3.81753735e-131
13.25           	1.34303932e-128
13.75           	3.91305765e-126
14.25           	9.54295035e-124
14.75           	1.96705518e-121
15.25           	3.45781437e-119
15.75           	5.22653413e-117
16.25           	5.66699936e-115
16.75           	4.71026021e-113
17.25           	3.69138398e-111
17.75           	2.69392914e-109
18.25           	1.82775699e-107
18.75           	1.15315545e-105
19.25           	6.76218399e-104
19.75           	3.68061400e-102
20.25           	1.85628522e-100
20.75           	8.66214426e-99
21.25           	3.73672809e-97
21.75           	1.48999316e-95
22.25           	5.49456338e-94
22.75           	1.87584821e-92
23.25           	5.93747440e-91
23.75           	1.74532314e-89
24.25           	4.77323972e-88
24.75           	1.21686176e-86
25.25           	2.89737145e-85
25.75           	6.45584720e-84
26.25           	1.34877316e-82
26.75           	2.64730417e-81
27.25           	4.89075550e-80
27.75           	8.52044648e-79
28.25           	1.40231219e-77
28.75           	2.18411906e-76
29.25           	3.22463577e-75
29.75           	4.52013440e-74
30.25           	6.02493773e-73
30.75           	7.64751307e-72
31.25           	9.25685075e-71
31.75           	1.06995359e-69
32.25           	1.18245402e-68
32.75           	1.25099981e-67
33.25           	1.26852246e-66
33.75           	1.23424312e-65
34.25           	1.15355715e-64
34.75           	1.03673822e-63
35.25           	8.96868819e-63
35.75           	7.47549863e-62
36.25           	6.00908921e-61
36.75           	4.66256818e-60
37.25           	3.49515425e-59
37.75           	2.53334929e-58
38.25           	1.77689357e-57
38.75           	1.20698839e-56
39.25           	7.94595474e-56
39.75           	5.07347081e-55
40.25           	3.14401356e-54
40.75           	1.89224640e-53
41.25           	1.10679989e-52
41.75           	6.29554662e-52
42.25           	3.48446861e-51
42.75           	1.87774130e-50
43.25           	9.85780423e-50
43.75           	5.04441899e-49
44.25           	2.51745923e-48
44.75           	1.22591588e-47
45.25           	5.82808027e-47
45.75           	2.70626347e-46
46.25           	1.22800754e-45
46.75           	5.44777289e-45
47.25           	2.36384334e-44
47.75           	1.00366598e-43
48.25           	4.17171083e-43
48.75           	1.69813457e-42
49.25           	6.77230239e-42
49.75           	2.64713132e-41
50.25           	1.01450329e-40
50.75           	3.81355219e-40
51.25           	1.40656336e-39
51.75           	5.09205653e-39
52.25           	1.80999911e-38
52.75           	6.31913712e-38
53.25           	2.16755820e-37
53.75           	7.30723392e-37
54.25           	2.42179126e-36
54.75           	7.89315597e-36
55.25           	2.53058259e-35
55.75           	7.98304591e-35
56.25           	2.47864541e-34
56.75           	7.57659864e-34
57.25           	2.28066694e-33
57.75           	6.76219982e-33
58.25           	1.97542644e-32
58.75           	5.68703700e-32
59.25           	1.61386305e-31
59.75           	4.51547481e-31
60.25           	1.24593282e-30
60.75           	3.39106692e-30
61.25           	9.10589197e-30
61.75           	2.41293021e-29
62.25           	6.31092220e-29
62.75           	1.62949994e-28
63.25           	4.15446440e-28
63.75           	1.04606512e-27
64.25           	2.60176088e-27
64.75           	6.39324310e-27
65.25           	1.55238242e-26
65.75           	3.72543225e-26
66.25           	8.83751669e-26
66.75           	2.07268368e-25
67.25           	4.80681110e-25
67.75           	1.10248546e-24
68.25           	2.50120660e-24
68.75           	5.61377253e-24
69.25           	1.24667975e-23
69.75           	2.73977442e-23
70.25           	5.95934007e-23
70.75           	1.28312032e-22
71.25           	2.73516547e-22
71.75           	5.77306951e-22
72.25           	1.20669000e-21
72.75           	2.49808975e-21
73.25           	5.12271617e-21
73.75           	1.04070572e-20
74.25           	2.09481364e-20
74.75           	4.17836167e-20
75.25           	8.25966120e-20
75.75           	1.61832379e-19
76.25           	3.14315681e-19
76.75           	6.05220543e-19
77.25           	1.15546526e-18
77.75           	2.18747702e-18
78.25           	4.10695915e-18
78.75           	7.64774865e-18
79.25           	1.41262997e-17
79.75           	2.58850650e-17
80.25           	4.70586883e-17
80.75           	8.48873549e-17
81.25           	1.51950099e-16
81.75           	2.69932532e-16
82.25           	4.75933720e-16
82.75           	8.32942047e-16
83.25           	1.44710335e-15
83.75           	2.49597075e-15
84.25           	4.27437584e-15
84.75           	7.26836380e-15
85.25           	1.22734934e-14
85.75           	2.05827580e-14
86.25           	3.42829710e-14
86.75           	5.67189184e-14
87.25           	9.32151656e-14
87.75           	1.52190782e-13
88.25           	2.46869095e-13
88.75           	3.97882318e-13
89.25           	6.37212848e-13
89.75           	1.01411757e-12
90.25           	1.60397441e-12
90.75           	2.52140650e-12
91.25           	3.93962705e-12
91.75           	6.11877102e-12
92.25           	9.44712663e-12
92.75           	1.45007637e-11
93.25           	2.21292323e-11
93.75           	3.35779724e-11
94.25           	5.06620940e-11
94.75           	7.60115967e-11
95.25           	1.13415323e-10
95.75           	1.68300537e-10
96.25           	2.48397663e-10
96.75           	3.64656307e-10
97.25           	5.32500225e-10
97.75           	7.73536795e-10
98.25           	1.11787231e-09
98.75           	1.60723007e-09
99.25           	2.29912610e-09
99.75           	3.27242996e-09
100.25          	4.63472932e-09
100.75          	6.53202968e-09
101.25          	9.16146004e-09
101.75          	1.27878259e-08
102.25          	1.77650585e-08
102.75          	2.45638599e-08
103.25          	3.38071444e-08
103.75          	4.63152341e-08
104.25          	6.31631906e-08
104.75          	8.57531622e-08
105.25          	1.15905202e-07
105.75          	1.55970682e-07
106.25          	2.08973203e-07
106.75          	2.78782743e-07
107.25          	3.70329820e-07
107.75          	4.89867484e-07
108.25          	6.45290202e-07
108.75          	8.46520026e-07
109.25          	1.10597186e-06
109.75          	1.43911119e-06
110.25          	1.86511929e-06
110.75          	2.40768253e-06
111.25          	3.09592430e-06
111.75          	3.96549969e-06
112.25          	5.05987476e-06
112.75          	6.43181405e-06
113.25          	8.14510115e-06
113.75          	1.02765189e-05
114.25          	1.29181165e-05
114.75          	1.61797911e-05
115.25          	2.01922133e-05
115.75          	2.51101230e-05
116.25          	3.11160242e-05
116.75          	3.84243035e-05
117.25          	4.72857955e-05
117.75          	5.79928159e-05
118.25          	7.08846767e-05
118.75          	8.63536963e-05
119.25          	1.04851707e-04
119.75          	1.26897061e-04
120.25          	1.53082113e-04
120.75          	1.84081180e-04
121.25          	2.20658925e-04
121.75          	2.63679139e-04
122.25          	3.14113854e-04
122.75          	3.73052740e-04
123.25          	4.41712685e-04
123.75          	5.21447479e-04
124.25          	6.13757491e-04
124.75          	7.20299225e-04
125.25          	8.42894615e-04
125.75          	9.83539922e-04
126.25          	1.14441408e-03
126.75          	1.32788633e-03
127.25          	1.53652298e-03
127.75          	1.77309304e-03
128.25          	2.04057278e-03
128.75          	2.34214870e-03
129.25          	2.68121901e-03
129.75          	3.06139341e-03
130.25          	3.48649089e-03
130.75          	3.96053550e-03
131.25          	4.48775003e-03
131.75          	5.07254731e-03
132.25          	5.71951925e-03
132.75          	6.43342346e-03
133.25          	7.21916736e-03
133.75          	8.08178995e-03
134.25          	9.02644117e-03
134.75          	1.00583588e-02
135.25          	1.11828435e-02
135.75          	1.24052312e-02
136.25          	1.37308641e-02
136.75          	1.51650596e-02
137.25          	1.67130783e-02
137.75          	1.83800898e-02
138.25          	2.01711386e-02
138.75          	2.20911093e-02
139.25          	2.41446903e-02
139.75          	2.63363395e-02
140.25          	2.86702490e-02
140.75          	3.11503111e-02
141.25          	3.37800855e-02
141.75          	3.65627679e-02
142.25          	3.95011608e-02
142.75          	4.25976458e-02
143.25          	4.58541592e-02
143.75          	4.92721700e-02
144.25          	5.28526609e-02
144.75          	5.65961128e-02
145.25          	6.05024924e-02
145.75          	6.45712442e-02
146.25          	6.88012851e-02
146.75          	7.31910036e-02
147.25          	7.77382624e-02
147.75          	8.24404054e-02
148.25          	8.72942673e-02
148.75          	9.22961877e-02
149.25          	9.74420285e-02
149.75          	1.02727194e-01
150.25          	1.08146656e-01
150.75          	1.13694978e-01
151.25          	1.19366346e-01
151.75          	1.25154597e-01
152.25          	1.31053256e-01
152.75          	1.37055569e-01
153.25          	1.43154538e-01
153.75          	1.49342957e-01
154.25          	1.55613454e-01
154.75          	1.61958524e-01
155.25          	1.68370568e-01
155.75          	1.74841930e-01
156.25          	1.81364937e-01
156.75          	1.87931927e-01
157.25          	1.94535292e-01
157.75          	2.01167503e-01
158.25          	2.07821146e-01
158.75          	2.14488950e-01
159.25          	2.21163813e-01
159.75          	2.27838829e-01
160.25          	2.34507307e-01
160.75          	2.41162796e-01
161.25          	2.47799101e-01
161.75          	2.54410298e-01
162.25          	2.60990747e-01
162.75          	2.67535104e-01
